DOMICILIO;CARACT_SITIO;AUTORES;F_E;TAAÑO_TS;UBICACION;TECNICA;NOMBRE_OBRA
AV. SANTA FE 1660;GALERIA SANTA FE;LEOPOLDO TORRES AGÜERO;1954;S/M;ACCESOM.T. DE ALVEAR;FRESCO;TITULO DESCONOCIDO
AV. SANTA FE 1660;GALERIA SANTA FE;JUAN BATLLE PLANAS;1954;S/M;ACCESOAV. SANTA FE;FRESCO;TITULO DESCONOCIDO
AV. SANTA FE 1662;GALERIA SANTA FE;RAUL SOLDI;1950;S/M;LOCAL 3;FRESCO;LOS AMANTES
AV. SANTA FE 1860;LIBRERIA EL ATENEO, EX CINE GRAND SPLENDID;NAZARENO ORLANDI;1919;S/M;SALON CENTRAL;MAROUFLAGE (OLEO SOBRE TELA PEGADO AL CIELORRASO);TITULO DESCONOCIDO
FLORIDA 1005;PLAZA HOTEL;JORGE SOTO ACEBAL, MERCEDES RODRIGUE;1930;S/M;RESAURANT LA BRASSERIE;FRESCO;ESCENAS DEL 900
FLORIDA 753;GALERIAS PACIFICO;MANUEL COLMEIRO;1946;S/M;CUPULA;FRESCO;LA PAREJA HUMANA O EL AMOR MATERNAL
FLORIDA 753;GALERIAS PACIFICO;DEMETRIO URRUCHUA;1946;S/M;CUPULA;FRESCO;LA FRATERNIDAD
FLORIDA 753;GALERIAS PACIFICO;LINO ENEA SPILIMBERGO;1946;S/M;CUPULA;FRESCO;EL DOMINIO DE LAS FUERZAS NATURALES
FLORIDA 753;GALERIAS PACIFICO;JUAN CARLOS CASTAGNINO;1946;S/M;CUPULA;FRESCO;LA VIDA DOMESTICA O LA OFRENDA GENEROSA DE LA NATURALEZA
FLORIDA 753;GALERIAS PACIFICO;ANTONIO BERNI;1946;S/M;CUPULA;FRESCO;EL AMOR O GERMINACION DE LA TIERRA
FLORIDA 753;GALERIAS PACIFICO;CARLOS ALONSO;1992;S/M;;ACRILICO S/SOPORTE RIGIDO;CON LOS PIES EN LA TIERRA
FLORIDA 753;GALERIAS PACIFICO;JOSEFINA ROBIROSA;1992;S/M;;OLEO S/SOPORTE RIGIDO;OTRO TIEMPO
FLORIDA 753;GALERIAS PACIFICO;ROMULO MACCIO;1992;S/M;;ACRILICO S/SOPORTE RIGIDO;FLORIDA IDA Y VUELTA
FLORIDA 753;GALERIAS PACIFICO;GUILLERMO ROUX;1992;S/M;;OLEO S/SOPORTE RIGIDO;MUJER Y MASCARAS
FLORIDA 971;GALERIA LARRETA;LUIS SEOANE;1958;S/M;SALON CENTRAL;TARACEA DE MARMOLES;TITULO DESCONOCIDO
GÜEMES 3657;LA PEÑA DEL COLORADO;MARCELO CARPITA;2001;4 X 4;MURO FRONTAL EN GALERIA;ACRILICO PARA EXTERIORES;TITULO DESCONOCIDO
AV. PEDRO DE MENDOZA 1795;HOSPITAL ODONTOLOGICO INFANTIL;BENITO QUINQUELA MARTIN;1955;S/M;FACHADA;MURAL CERAMICO;LA BOCA DEL RIACHUELO
AV. BELGRANO 1746;FUNDACION FAVALORO;RAUL SOLDI;1994;S/M;HALLDE ACCESO;MURAL CERAMICO;CONCIERTO EN EL JARDIN
AV. SAN MARTIN 3175;CLINICA OBRA SOCIAL PERFUMISTAS;ALBERTO BRUZZONE;1970;S/M;HALLDE ACCESO;FRESCO;LA FAMILIA
AV. MONTES DE OCA 40;HOSPITAL DE NIÑOS PEDRO ELIZALDE;LUIS FELIPE NOE;2006;S/M;;MURAL CON PASTILLAS DE VIDRIO;TA - TE - TI
ESTEBAN DE LUCA 2151;MATERNIDAD SARDA;JORGE ESTOMBA;1973;S/M;HALL;PINTURA MURAL;EL ESPACIO
ESTEBAN DE LUCA 2151;MATERNIDAD SARDA;JORGE ESTOMBA;1973;S/M;HALL;PINTURA MURAL;LA TIERRA
ARENALES 3768;VIVIENDA MULTIFAMILIAR ;JUAN BATLLE PLANAS;1964;3.25 X 10.50;HALL;FRESCO;TITULO DESCONOCIDO
AZCUENAGA 1074;VIVIENDA MULTIFAMILIAR ;LUIS SEOANE;S/A;S/M;HALL;PINTURA MURAL;TITULO DESCONOCIDO
